PlotID,Replicate,Row,Column,GenotypeID,DaysToPollen,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,ExtantLeafNumber2,year2020,year2021,year2022,year2020_1
2733,2,57,5,A427,72,3.53,79.5,9.45,170.5,11,2,13.67,1,0,0,0
1011,1,1,11,A508,62,3.12,77.5,7,171,11,1.33,12.67,1,0,0,1
2150,2,36,10,A508,64,3.84,68,7.1,144.5,10,0.33,14,1,0,0,0
1679,1,25,7,A548,66,3.35,72.25,8.35,140,10,1,13.67,1,0,0,1
2531,2,49,27,A548,66,2.48,80.75,7.8,,,0,13.67,1,0,0,0
1770,1,28,14,A554,67,3.55,66.75,8.5,154.5,11,0.33,12.33,1,0,0,1
2717,2,56,17,A554,65,2.1,67.25,7.65,154,11.5,1,14,1,0,0,0
1828,1,30,16,A556,68,3.25,69.75,7.9,121,12,1.33,15.67,1,0,0,1
2517,2,49,13,A556,68,2.5,64.75,8.5,133,11.5,2.33,13.67,1,0,0,0
1764,1,28,8,A572,64,3.07,61,8.3,150.5,12,0.33,13,1,0,0,1
2830,2,60,18,A572,65,2.26,66.75,8.3,162.5,12,1,13.5,1,0,0,0
1184,1,7,16,A619,68,2.98,74.5,9.05,169.5,10.5,1.33,12.67,1,0,0,1
2349,2,43,13,A619,68,3.73,73.5,8.1,165,11,1,13,1,0,0,0
1087,1,4,3,A627,67,3.84,76.95,7.3,177.5,11.5,0,14.33,1,0,0,1
2578,2,51,18,A627,69,3.25,70.75,7.8,165.5,12.5,1.33,15.67,1,0,0,0
1581,1,21,21,A632,72,4.28,78,6.55,190,13,1,15,1,0,0,1
2443,2,46,23,A632,73,2.79,79.5,6.8,181,13.5,1,14.33,1,0,0,0
1835,1,30,23,A634,69,3.5,76,7.3,178,15,1.67,15.33,1,0,0,1
2759,2,58,3,A634,68,3.47,81.5,6.15,175,14,1.67,14,1,0,0,0
1059,1,3,3,A635,66,3.68,80,6.75,149,14,1.33,16,1,0,0,1
2785,2,59,1,A635,67,3.15,78.5,6.6,159,13.5,1,14,1,0,0,0
1725,1,26,25,A648,69,3.08,72.75,8.4,193.5,13,1,12.33,1,0,0,1
2833,2,60,21,A648,71,2.44,74.5,7.7,171,12,1.67,14,1,0,0,0
1662,1,24,18,A649,63,2.36,77.5,7.85,144,10,0.33,12.67,1,0,0,1
2012,2,31,12,A649,66,3.46,72.5,7.7,146.5,9,0.33,11.33,1,0,0,0
1813,1,30,1,A651,63,2.06,72.5,8.85,108.5,10,1,12,1,0,0,1
2654,2,54,10,A651,63,2.13,58.75,10,128,9.5,1.67,13.33,1,0,0,0
1469,1,17,21,A654,64,1.91,52,8.2,134,10,1,11.33,1,0,0,1
2795,2,59,11,A654,65,2.38,63.75,8.3,156.5,11,1,12,1,0,0,0
1405,1,15,13,A659,70,3.86,88,9,180,10.5,1.33,12.67,1,0,0,1
2074,2,33,18,A659,69,3.89,88.5,8.45,166.5,11.5,0.67,12.67,1,0,0,0
1638,1,23,22,A661,63,3.78,67.25,8.6,171.5,11.5,1.67,13.67,1,0,0,1
2585,2,51,25,A661,63,3.47,64.75,9.3,178.5,11.5,1,12.67,1,0,0,0
1377,1,14,13,A662,61,2.61,62.25,9.1,141,10,0.67,10,1,0,0,1
2766,2,58,10,A662,60,2.22,64.5,9,169,11.5,1,14,1,0,0,0
1174,1,7,6,A663,75,3.88,65.5,9.85,,11.5,1.33,12.67,1,0,0,1
2671,2,54,27,A663,76,,62,9,183.5,12,2,13,1,0,0,0
1219,1,8,23,A672,67,2.65,79,6.25,175,13,0.67,15.33,1,0,0,1
2752,2,57,24,A672,68,2.44,83.75,5.8,184,13.5,1,14,1,0,0,0
1503,1,18,27,A673,65,3.25,60,8.2,129,11,1,12.67,1,0,0,1
2287,2,41,7,A673,65,2.81,60.75,7.5,133.5,11.5,1,12.67,1,0,0,0
1437,1,16,17,A674,68,3.7,74.5,8.7,169,11.5,1,13,1,0,0,1
2481,2,48,5,A674,69,3.3,74.5,8,183.5,12,1,13.67,1,0,0,0
1337,1,13,1,A679,69,3.53,82.75,9.25,202.5,13,1,14,1,0,0,1
2789,2,59,5,A679,69,3.21,84,8.85,200.5,13.5,2,13.67,1,0,0,0
1576,1,21,16,A680,76,4.11,88.25,9.1,194.5,13,2.33,14.33,1,0,0,1
2665,2,54,21,A680,74,3.33,87.75,8.65,208,15,2,14.33,1,0,0,0
1390,1,14,26,A682,68,3.22,71.5,9.45,172.5,11,0.67,12.67,1,0,0,1
2355,2,43,19,A682,69,3.91,69,9.1,175.5,11,0,12.67,1,0,0,0
1165,1,6,25,A71,69,3.68,80,9.25,176,13,1.67,14.33,1,0,0,1
2020,2,31,20,A71,68,4.47,80,8.4,190,13,1,13.33,1,0,0,0
1264,1,10,12,A73,69,3.59,60.25,10.25,153.5,14,2,16,1,0,0,1
2293,2,41,13,A73,71,4.08,60,9.35,147.5,13,1.33,15.33,1,0,0,0
1760,1,28,4,A797NW,83,3.95,72,7.8,167,14.5,0.67,15.33,1,0,0,1
2380,2,44,16,A797NW,86,4.57,80.75,7.15,175,16.5,1,16.33,1,0,0,0
1221,1,8,25,A96,64,2.39,70.75,8.55,143.5,11,0,11.33,1,0,0,1
2118,2,35,6,A96,64,3.6,68.25,8.65,128,10,0.67,12.67,1,0,0,0
1592,1,22,4,AM0776,68,3.79,74.25,7.4,183,12.5,1,14.33,1,0,0,1
2028,2,31,28,AM0776,68,4.39,73.5,7.4,189.5,12.5,1,15,1,0,0,0
1690,1,25,18,AQA3,68,2.72,72.25,7.15,167.5,13,1.67,13,1,0,0,1
2031,2,32,3,AQA3,67,2.73,70.75,6.8,165,11.5,0.67,10,1,0,0,0
1389,1,14,25,AS5707,72,,79.65,9.5,148.5,10,2,12.67,1,0,0,1
2827,2,60,15,AS5707,75,,,,,,2,14,1,0,0,0
1304,1,11,24,AS6103,75,4.5,84.5,8.05,170.5,13,1,15.33,1,0,0,1
2507,2,49,3,AS6103,73,3.74,83.5,6.6,156.5,12,0,14.33,1,0,0,0
1383,1,14,19,AusTRCF_306238,77,,68,8.8,,13,0,15.33,1,0,0,1
2132,2,35,20,AusTRCF_306238,77,4.56,65.5,8.75,180,13.5,0,17.33,1,0,0,0
